name,hostelid,rate,city,url
Berlin-Cityroom,41179,"
                0.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Berlin-Cityroom/Berlin/41179
Via Amsterdam,280631,"
                8.5
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Via-Amsterdam/Amsterdam/280631
Stayokay Amsterdam Vondelpark,4916,"
                8.8
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Stayokay-Amsterdam-Vondelpark/Amsterdam/4916
ClinkNOORD,93919,"
                9.2
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/ClinkNOORD/Amsterdam/93919
Stayokay Amsterdam Oost,18974,"
                8.8
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Stayokay-Amsterdam-Oost/Amsterdam/18974
MEININGER Amsterdam City West,60335,"
                9.0
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/MEININGER-Amsterdam-City-West/Amsterdam/60335
St Christopher's at The Winston,13607,"
                8.7
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-at-The-Winston/Amsterdam/13607
The Bulldog,644,"
                8.8
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/The-Bulldog/Amsterdam/644
Hostel Van Gogh,50478,"
                8.6
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Hostel-Van-Gogh/Amsterdam/50478
Flying Pig Downtown,641,"
                9.0
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Flying-Pig-Downtown/Amsterdam/641
MEININGER Amsterdam Amstel,285071,"
                8.9
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/MEININGER-Amsterdam-Amstel/Amsterdam/285071
Flying Pig Uptown,640,"
                8.7
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Flying-Pig-Uptown/Amsterdam/640
Bob's Youth Hostel,3602,"
                7.0
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Bob-s-Youth-Hostel/Amsterdam/3602
Shelter City,6251,"
                8.5
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Shelter-City/Amsterdam/6251
CityHub Amsterdam,263985,"
                9.5
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/CityHub-Amsterdam/Amsterdam/263985
Generator Amsterdam,265063,"
                8.4
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Generator-Amsterdam/Amsterdam/265063
Lucky Lake Hostel,6181,"
                9.4
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Lucky-Lake-Hostel/Amsterdam/6181
The White Tulip Hostel,16779,"
                7.8
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/The-White-Tulip-Hostel/Amsterdam/16779
Shelter Jordan,643,"
                8.6
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Shelter-Jordan/Amsterdam/643
Stayokay Amsterdam Stadsdoelen,4915,"
                8.3
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Stayokay-Amsterdam-Stadsdoelen/Amsterdam/4915
Aivengo Hostel,46722,"
                7.3
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Aivengo-Hostel/Amsterdam/46722
EasyStay Amsterdam,37481,"
                7.2
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/EasyStay-Amsterdam/Amsterdam/37481
Ecomama,84263,"
                9.1
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Ecomama/Amsterdam/84263
Hans Brinker Hostel Amsterdam,646,"
                8.4
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Hans-Brinker-Hostel-Amsterdam/Amsterdam/646
a&o Amsterdam Zuidoost,92741,"
                8.4
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/a-and-o-Amsterdam-Zuidoost/Amsterdam/92741
Heart Of Amsterdam,652,"
                7.5
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Heart-Of-Amsterdam/Amsterdam/652
Amsterdam Hotelboat,34529,"
                9.1
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Amsterdam-Hotelboat/Amsterdam/34529
WOW Amsterdam,88728,"
                7.8
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/WOW-Amsterdam/Amsterdam/88728
Amsterdam Hostel Annemarie,4585,"
                6.9
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Amsterdam-Hostel-Annemarie/Amsterdam/4585
Hostel Utopia,30791,"
                6.7
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Hostel-Utopia/Amsterdam/30791
Cocomama,45658,"
                8.9
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Cocomama/Amsterdam/45658
Budget Hotel Tourist Inn,7904,"
                8.7
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Budget-Hotel-Tourist-Inn/Amsterdam/7904
Bostel Amsterdamse Bos,4525,"
                5.6
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Bostel-Amsterdamse-Bos/Amsterdam/4525
Travel Hotel Amsterdam,6960,"
                7.2
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Travel-Hotel-Amsterdam/Amsterdam/6960
Hotel My Home,13701,"
                8.9
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Hotel-My-Home/Amsterdam/13701
Bed and Breakfast Groenendael,101724,"
                7.7
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Bed-and-Breakfast-Groenendael/Amsterdam/101724
Durty Nellys Inn,645,"
                8.4
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Durty-Nellys-Inn/Amsterdam/645
Train Lodge Amsterdam,100607,"
                8.4
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Train-Lodge-Amsterdam/Amsterdam/100607
International Budget Hostel,619,"
                7.5
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/International-Budget-Hostel/Amsterdam/619
Hotel Mevlana,42556,"
                7.0
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Hotel-Mevlana/Amsterdam/42556
Hotel Oosterpark,39904,"
                7.3
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Hotel-Oosterpark/Amsterdam/39904
Flying Pig Beach Hostel,650,"
                8.9
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Flying-Pig-Beach-Hostel/Amsterdam/650
Central Station Hostel,67262,"
                8.0
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Central-Station-Hostel/Amsterdam/67262
Hostelle - Female Only Hostel,58798,"
                8.9
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Hostelle-Female-Only-Hostel/Amsterdam/58798
Euphemia Old City Canal Zone,647,"
                8.3
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Euphemia-Old-City-Canal-Zone/Amsterdam/647
Anna houseboat,60554,"
                9.7
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Anna-houseboat/Amsterdam/60554
Princess Hostel Leidse Square,83151,"
                5.5
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Princess-Hostel-Leidse-Square/Amsterdam/83151
Hostel the Globe Center,5487,"
                7.6
            ",Amsterdam,https://www.hostelworld.com/hosteldetails.php/Hostel-the-Globe-Center/Amsterdam/5487
